,industry,sector,overallRisk,dividendRate,beta,trailingPE,marketCap,profitMargins,bookValue,currentPrice,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,symbol,displayName,prevName,nameChangeDate,revPerEmp
49,Leisure,Consumer Cyclical,8.0,,1.034,,246553952.0,0.06447,21.041,22.12,67325000.0,56916000.0,1.377,1.919,714219008.0,24.217,65.053,0.098009996,0.21757,240655008.0,24171000.0,50110000.0,JAKK,JAKKS Pacific,,,1050322.0705882353
55,Residential Construction,Consumer Cyclical,5.0,,1.754,,2947824896.0,0.12109,112.291,110.06,675953984.0,982257984.0,1.521,8.235,4434059776.0,32.673,160.698,0.09380999,0.19022,1154845056.0,26567376.0,128851000.0,MHO,M/I Homes,,,2519352.1454545455
57,Communication Equipment,Technology,2.0,,1.096,,835156160.0,0.03721,18.562,29.015,-53115000.0,28325000.0,2.215,2.991,671233024.0,5.302,23.359,-0.046290003,0.04778,204016000.0,66131376.0,138858000.0,NTGR,NETGEAR,,,1055397.8364779875
60,Software - Application,Technology,2.0,,1.123,,1739647872.0,0.0493,36.415,65.36,164940000.0,149539008.0,1.387,1.832,2125136000.0,15.539,79.93,0.05118,0.11387,535598016.0,226388624.0,246155008.0,PLUS,ePlus,,,927601.920558708
61,Rental & Leasing Services,Industrials,2.0,,1.788,,1162800512.0,0.083809994,16.218,28.815,417880000.0,604054016.0,2.611,4.343,2505713920.0,92.3,59.844,0.17039,0.33883998,855740992.0,1853407360.0,212720992.0,PRG,PROG,,,1785968.581610834
67,Electronics & Computer Distribution,Technology,2.0,,1.3,,921787456.0,0.02271,39.387,40.795,120142000.0,149884000.0,1.122,2.074,2974036992.0,16.622,124.224,0.03216,0.0732,400857984.0,166649632.0,159443008.0,SCSC,ScanSource,,,1293059.5617391304
69,Oil & Gas E&P,Energy,2.0,,1.334,,2811229696.0,0.067150004,18.283,18.63,536660000.0,1083949056.0,2.226,2.348,636537984.0,32.806,7.996,0.02874,0.030030001,589198976.0,109132496.0,445168992.0,STR,Sitio Royalties,,,8840805.333333334
71,Residential Construction,Consumer Cyclical,3.0,,1.344,,2844321024.0,0.098500006,36.635,31.37,574361984.0,1060862016.0,2.467,11.856,4294395904.0,31.937,46.133,0.06933,0.13278,1017995008.0,441352512.0,520160992.0,TPH,Tri Pointe Homes,,,2453940.5165714286
72,REIT - Industrial,Real Estate,4.0,,1.085,,5919219712.0,0.48176,37.898,57.585,239287008.0,745926976.0,1.96,1.966,408011008.0,19.148,4.142,0.02118,0.05356,302041984.0,191894128.0,247080992.0,TRNO,Terreno Realty,,,8326755.265306123
75,Asset Management,Financial Services,6.0,,1.066,,4344809984.0,0.32896,17.905,64.62,465971008.0,984865024.0,2.339,2.415,897222016.0,86.047,13.924,0.10707,0.26569998,522980992.0,287265248.0,352388992.0,VCTR,Victory Capital,,,1950482.6434782608
76,Asset Management,Financial Services,4.0,,1.466,,1223689984.0,0.13351,129.318,177.06,248820000.0,303824992.0,2.212,2.216,902838976.0,29.88,128.226,0.03142,0.14207,381551008.0,97412752.0,32496000.0,VRTS,Virtus Investment Partners,,,1121539.100621118
78,Steel,Basic Materials,3.0,,1.759,,361224992.0,0.0088,51.438,32.36,71032000.0,280745984.0,1.198,3.16,1907970944.0,48.895,163.162,0.024030002,0.02953,450518016.0,50652624.0,85705000.0,ZEUS,Olympic Steel,,,872414.6977594879
